name,rating,date,text
M***d,5,2024-05-20,Barang sesuai & pengiriman cepat 👍🏽👍🏽👍🏽
faiz,5,2024-05-20,baguuss.cocok juga untuk mio smile 2011..terimakasih mimin
K***o,5,2024-05-20,bahan nya itu loh juara
Vemri,4,2024-05-20,"Barang ok, pengiriman tidak same day (order jam 10)"
Vino,5,2024-05-20,sesuai pesanan rapi dan bagus
N***l,5,2024-05-20,kualitas tdk di ragukan
Larantuka,5,2024-05-20,"barang bagus, warna glossy..."
j***l,5,2025-05-17,produk bagus dan sesuai..
Nkh,5,2024-05-20,Makasih mas barang sampe dengan selamat sukses selalu
H***u,5,2025-04-29,"Kualitas pengerjaan: Jos
Bahan: Jos
Perakitan: Pas"
R***d,4,2024-05-20,Ada baret
I,5,2024-05-20,recoment dan respon reseller cepat
J***y,5,2024-05-20,"sdh sering belanja di toko ini, Alhamdulillah blm pernah mengecewakan. Mantap 👍🏾"
yogi,5,2024-05-20,sangat sangat memuaskan tapi pengemasannya lama
X***f,1,2025-05-19,Katagori universal bebek/ matick/ tidak di jelaskan beli buat r25 tidak bisa
Y***a,5,2024-05-20,barang selalu baik okeh bgt
Ketut,3,2024-05-20,Barang yang dipesan warna biru datangnya warna merah
S***a,5,2024-05-20,"barang sesuai, mantap...................👍"
Refan,5,2024-05-20,kualitas bagus
Ray,3,2024-05-20,"barang baru baret2, boncel2  hadeuh"
Deni,2,2024-05-20,warna y tidak sesuai satu jdi aga kcewa bos di chat dah gada blesan lgi ...
NextShine,5,2024-05-20,barang sesuai deskripsi dan pesanan
Ferdynan,5,2024-05-20,"Full cnc, Finishing rapi dan model keren"
putra,5,2024-05-20,mantaps barang berkualitas
m***d,5,2024-05-20,barangnya bagus banget
Ahmad,5,2024-05-20,"barang udah sampai tp belum di buka, masih kerja q. ntar foto nyusul"
D***u,5,2024-05-20,Ok mantap kualitasnya..
ibnu,5,2024-05-20,motor jadi makin keren ditambah variasi dari ARM
Cahya,5,2025-01-20,terpasang sempurna di nmax
Wendy,5,2024-08-23,buat PCX dan N Max 👍🏻
h***o,5,2024-07-24,pesanan sudah sampai dan warna sesuai
N***p,5,2025-04-20,Langganan di toko ini Joss 👍👍
Dili,5,2024-05-20,mantul kualitasnya pembelian yg kedua 👍👍
A***o,5,2024-05-20,"barangnya bagus, rapih pembuatannya.."
W***o,5,2024-05-20,Sesuai deskripsi
Didikjunaidi,5,2024-05-20,Full senyum 🤣
Lukman,5,2024-05-20,"bagus, cuma belom di pasang semoga pas"
Antony,3,2024-05-20,"barang oke, tp pesen merah, dikirimnya item"
Heri,5,2024-05-20,Terima Kasih Memdarat Dengan Sempurna
F***i,5,2024-05-20,kualitas ok
Indra,5,2024-05-20,sesuai pesanan. wes ndang order.o. aq wes order soal.e.
Erik,5,2024-05-20,barangnya bagus sesuai pesanan
Hendra,5,2024-05-20,"Bagus
pengiriman cepat"
Ahmad,5,2024-05-20,barang nya bagus😍
Dedy,5,2024-05-20,barang sesuai deskripsij
Firman,5,2025-01-20,Barang Sudah Sampai Gan.Qualitas Top Markotop.Terimakasih.
Kunto,5,2024-05-20,"barang ok,,keren.."
Sultan,5,2024-05-20,Mantep dah jadi nambah ganteng motor
attilaseserahan,5,2024-05-20,Kualitas terbaik
M***l,5,2024-05-20,Barang sesuai
Aditya,5,2024-05-20,mantappp sesuai banget
Roney,5,2024-05-20,barang bagus gan..
S***a,5,2024-05-20,REAL SESUAI PICT DAN JOSS
A***p,5,2024-05-20,barang bagus
Eko,5,2024-05-20,berkualitas
P***j,5,2025-05-06,Barang sesuai pesenan
Reno,5,2024-05-20,barang mantul dan pnp new nmax
F***b,5,2025-05-06,Bagus
Roberto,5,2024-05-20,cakep beud 🤌🏼👌🏼
Z***k,5,2025-04-20,Keren dan sesuai pesanan
T***s,5,2025-04-22,Oke good
u***n,5,2024-12-21,Pelayanannya selalu istimewa belanja disini👍
Ryan,5,2024-05-20,Oke banget
H***l,5,2025-04-29,"𝘼𝙡𝙝𝙖𝙢𝙙𝙪𝙡𝙞𝙡𝙡𝙖𝙝 𝙗𝙖𝙧𝙖𝙣𝙜𝙣𝙮𝙖 𝙨𝙪𝙙𝙖𝙝 𝙨𝙖𝙮𝙖 𝙏𝙚𝙧𝙞𝙢𝙖 𝙙𝙜 𝙗𝙖𝙞𝙠 
𝙩𝙚𝙧𝙞𝙢𝙖𝙠𝙖𝙨𝙞𝙝 𝙨𝙚𝙡𝙡𝙚𝙧
𝙎𝙚𝙢𝙤𝙜𝙖 𝙗𝙚𝙧𝙠𝙖𝙝 𝙙𝙖𝙣 𝙨𝙪𝙠𝙨𝙚𝙨 𝙨𝙚𝙡𝙖𝙡𝙪"
j***k,5,2024-09-22,sempurna
Michael,5,2024-05-20,Mantap dan presisi
Y***i,5,2024-05-20,pengiriman cepat
Michael,5,2024-05-20,macem mas 👍🏾
Muchlis,5,2024-05-20,"mantap pokonya , terbaik"
M***d,5,2024-05-20,Alhamdulillah barang nya sudah sampai dengan aman
azizon,5,2024-05-20,mantap
E***i,5,2024-05-20,"barang diterima dengan baik, semoga awet"
Calvin,5,2024-05-20,mantap
M***o,5,2024-05-20,Mantap
D***N,5,2024-05-20,Barang josS
F***n,5,2024-09-22,langsung klop
H***e,5,2025-05-17,Mantap sesuai PNP
Amar,5,2024-05-20,sipppp👍🏻👍🏻👍🏻
A***o,5,2024-05-20,sesuai pesanan
A***l,4,2024-05-20,ada miss paint kyk baret
indar,5,2024-05-20,"mantap,tebal n kokoh"
Ankie,5,2024-05-20,Cakep
O***l,3,2025-04-29,Tutup minyak rem kekecilan
MARTONO,5,2024-05-20,"Mantap, ,🙏"
Eko,5,2024-05-20,sesuai pesanan.
Q***s,5,2025-05-06,Bagus dan kuat
Denny,5,2024-05-20,Barangnya mantap
M***a,5,2024-05-20,mantap gan
I***l,5,2024-05-20,Biar bintang yg berbicara 🌟🌟🌟🌟🌟 😁👍
S***y,5,2024-05-20,jadi tambah oke
b***y,5,2024-05-20,Matafff jozzzz
Aditya,5,2024-05-20,joosspaaarr 👌🏻💙
Gil,4,2024-05-20,Kurang mulus
D***t,5,2024-05-20,Berfungsi dgn baik di mio sy
AZIZ,4,2024-05-20,finishing kurang rapih
fadli,5,2024-05-20,lumayan
s***i,5,2024-05-20,"mantap, masuk buat r15"
J***l,5,2024-05-20,"sesuai, presisi thank juragan"
Suherman,5,2024-05-20,fast respon
R***n,5,2024-05-20,Mantabb
N***m,1,2025-05-13,Ini yg item gk dikirim toko gak amanah tai
Fariz,5,2024-05-20,bahannya padet👍
F***r,5,2024-09-22,bagus
JabalR,5,2024-05-20,"lumayan cnc nya, kualitas oke"
vedi,5,2024-05-20,manntap pokok nya lop degh
Z***l,5,2024-05-20,Bagus
R***y,5,2024-05-20,bagus
d***a,5,2024-07-24,keren
s***i,5,2024-05-20,Mantab!
Bagas,5,2024-05-20,Pas!
Rahman,4,2024-05-20,orderan yg kesekian kalinya
L***t,5,2025-05-15,N/A
S***j,5,2025-05-13,N/A
Hendrik,5,2025-02-19,N/A
Fazrooyy,5,2025-02-19,N/A
E***o,5,2024-10-22,N/A
A***a,5,2024-06-24,N/A
X***r,5,2024-05-20,N/A
Muhtadi,5,2024-05-20,N/A
Eko,5,2024-05-20,N/A
Heru,5,2024-05-20,barang sesuai order bgus. smga awet
Kefi,4,2024-05-20,good..cepet di proses
anyin,5,2024-05-20,oke👍
E***a,5,2024-05-20,desain bagus mantap pokonya
BAIS,5,2024-05-20,mantaabb barang full cnc
Daniel,5,2024-05-20,Gamasuk ternyata ke xmax
Donny,5,2024-06-24,goood mantap sekali
A***g,5,2024-05-20,murah bangettt!!!
Muhtadi,5,2024-05-20,N/A
Eko,5,2024-05-20,N/A
Heru,5,2024-05-20,barang sesuai order bgus. smga awet
Kefi,4,2024-05-20,good..cepet di proses
anyin,5,2024-05-20,oke👍
E***a,5,2024-05-20,desain bagus mantap pokonya
BAIS,5,2024-05-20,mantaabb barang full cnc
